Name,Value
graph type,erdos_renyi
nodes,600
rewiring percentage,0.01
beta_0,[1000.]
epsilon,[1000.]
TOTAL_STEPS,20000
STEPS_PER_TEMP_SWAP,20
size percent,14.86
data file,"{'target_degree': 0.029, 'target_assort': 0.031, 'target_clust': 0.6055, 'degree_weight': 0.2, 'assort_weight': 0.0, 'clust_weight': 1.0}"
